match_id,team_id,team_name,team_rating,date,player_id,player_name,player_position,player_rating,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,aerial_won,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,good_high_claim,touches,saves,formation_place,fouls,penalty_conceded,att_goal_low_left,att_goal_low_right,att_sv_low_left,goals,att_pen_goal,att_sv_high_centre,att_goal_low_centre,man_of_the_match,goal_assist,att_miss_high,six_yard_block,yellow_card,att_post_left,post_scoring_att,att_miss_high_right,att_sv_high_right,att_sv_low_right,error_lead_to_goal,att_sv_high_left,att_miss_high_left,second_yellow,red_card,att_goal_high_right,att_goal_high_left,att_post_right,clearance_off_line,own_goals,last_man_tackle,att_goal_high_centre,att_pen_target,penalty_save,att_post_high,att_pen_miss,att_pen_post
1190343,96,Stoke,6.94571428571428,03/02/2018,4574,Glen Johnson,Sub,0,1,2,9,28,26,42.7,221,328,26,6,6,3,4,35,,13,19,4,,,,0,,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,6775,Petr Cech,GK,5.89,6,2,9,24,9,45.8,22,34,28,2,,3,5,6,1,10,11,1,,42,2,1,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,80921,Shkodran Mustafi,DC,6.06,6,2,9,5,9,45.8,55,72,28,2,,3,5,6,1,10,11,1,,80,,5,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,125211,Héctor Bellerín,DR,6.18,6,2,1,2,1,45.8,40,46,28,2,,3,5,1,1,10,11,1,,71,,2,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,110260,Sead Kolasinac,DL,6.49,6,2,1,2,9,45.8,39,52,28,2,,3,5,6,1,10,11,1,,77,,3,3,,,,,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,30051,Laurent Koscielny,DC,6.04,6,2,9,2,9,45.8,60,67,28,2,,3,5,6,1,10,11,1,,78,,6,1,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,13756,Mesut Özil,AMC,5.7,6,2,9,24,1,45.8,46,60,28,2,,1,5,6,1,1,11,1,,71,,10,1,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,39308,Danny Welbeck,AML,6.92,6,2,2,3,4,45.8,15,21,28,2,,1,5,2,1,1,11,1,,45,,11,,,,,,,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,89401,Granit Xhaka,DMC,7,6,2,9,6,9,45.8,64,75,28,2,,3,5,6,1,2,11,1,,91,,4,2,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,28421,Henrikh Mkhitaryan,AMR,6.86,6,2,1,4,9,45.8,31,42,28,2,,3,5,1,1,2,11,1,,71,,7,1,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,26820,Aaron Ramsey,DMC,6.11,6,2,2,24,2,45.8,41,48,28,2,,1,5,1,1,2,11,1,,63,,8,3,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,44120,Pierre-Emerick Aubameyang,FW,5.7,6,2,2,24,1,45.8,12,21,28,2,,3,5,1,1,2,11,1,,29,,9,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,124316,Calum Chambers,Sub,0,6,2,9,24,9,45.8,425,538,28,2,,3,5,6,1,10,11,1,,,,0,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,136824,Alex Iwobi,Sub,0,6,2,9,24,9,45.8,425,538,28,2,,3,5,6,1,10,11,1,,,,0,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,125209,Mohamed Elneny,Sub,0,6,2,9,24,9,45.8,425,538,28,2,,3,5,6,1,10,11,1,,,,0,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,255169,Ainsley Maitland-Niles,Sub,0,6,2,9,24,9,45.8,425,538,28,2,,3,5,6,1,10,11,1,,,,0,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,288795,Rob Holding,Sub,0,6,2,9,24,9,45.8,425,538,28,2,,3,5,6,1,10,11,1,,,,0,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,345845,Eddie Nketiah,Sub,0,6,2,9,24,9,45.8,425,538,28,2,,3,5,6,1,10,11,1,,,,0,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,13,Arsenal,6.26818181818182,01/03/2018,36745,David Ospina,Sub,0,6,2,9,24,9,45.8,425,538,28,2,,3,5,6,1,10,11,1,,,,0,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,121774,Ederson,GK,8.76,1,2,21,11,6,54.2,23,27,26,1,1,3,5,1,,9,11,1,,40,5,1,,,,1,,3,,,,1,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,10136,Vincent Kompany,DC,7.45,1,2,21,1,6,54.2,81,94,26,1,1,3,5,2,,9,11,1,,106,,5,1,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,69778,Kyle Walker,DR,7.6,1,2,1,1,2,54.2,44,54,26,1,1,3,5,1,,9,11,1,,76,,2,,,,1,,3,,,,,1,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,88300,Danilo,DL,7.07,1,2,1,1,6,54.2,50,56,26,1,1,3,5,9,,9,11,1,,79,,3,,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,75691,Nicolás Otamendi,DC,7.13,1,2,1,2,1,54.2,67,78,26,1,1,3,5,1,,9,11,1,,95,,6,2,1,,1,,3,,,,,,,,1,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,73084,Kevin De Bruyne,MC,7.59,1,2,2,1,6,54.2,53,67,26,1,1,1,5,9,,1,11,1,,90,,7,,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,14102,David Silva,MC,7.44,1,2,1,11,1,54.2,46,57,26,1,1,3,5,9,,1,11,1,,72,,8,1,,,1,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,77464,Ilkay Gündogan,MC,7.37,1,2,2,11,2,54.2,67,73,26,1,1,3,5,9,,9,11,1,,86,,4,1,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,14260,Sergio Agüero,FW,8.41,1,2,5,1,6,54.2,28,35,26,1,1,1,5,1,,4,11,1,,52,,9,1,,,1,,3,,,,,1,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,144711,Leroy Sané,FWL,8.46,1,2,6,11,6,54.2,34,36,26,1,1,3,5,9,,1,11,1,,54,,11,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,136741,Bernardo Silva,FWR,8.47,1,2,2,3,6,54.2,28,37,26,1,1,3,5,1,,1,11,1,,61,,10,1,,,1,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,101374,John Stones,Sub,0,1,2,21,11,6,54.2,556,653,26,1,1,3,5,9,,9,11,1,,,,0,,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,122117,Aymeric Laporte,Sub,0,1,2,21,11,6,54.2,556,653,26,1,1,3,5,9,,9,11,1,,,,0,,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,279379,Gabriel Jesus,Sub,5.98,1,2,21,11,6,54.2,1,2,26,1,1,1,5,9,,1,11,1,,4,,0,1,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,14053,Yaya Touré,Sub,6.06,1,2,21,11,6,54.2,9,9,26,1,1,3,5,9,,9,11,1,,9,,0,,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,331254,Phil Foden,Sub,0,1,2,21,11,6,54.2,556,653,26,1,1,3,5,9,,9,11,1,,,,0,,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,14199,Claudio Bravo,Sub,0,1,2,21,11,6,54.2,556,653,26,1,1,3,5,9,,9,11,1,,,,0,,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190419,167,Manchester City,7.44428571428571,01/03/2018,273257,Oleksandr Zinchenko,Sub,6.43,1,2,21,1,6,54.2,25,28,26,1,1,3,5,2,,9,11,1,,35,,0,2,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,
1190369,27,Watford,6.98857142857143,03/03/2018,11624,Orestis Karnezis,GK,7.25,4,,12,12,38,53.3,12,33,21,6,3,5,4,25,1,15,11,2,2,45,2,1,,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,32323,Daryl Janmaat,DR,6.64,4,,12,12,3,53.3,19,30,21,6,3,1,4,2,1,2,11,2,,48,,2,,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,21499,José Holebas,DL,7.82,4,,12,1,3,53.3,24,38,21,6,3,1,4,3,1,1,11,2,,81,,3,2,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,27349,Sebastian Prödl,DC,7.3,4,,12,1,1,53.3,25,34,21,6,3,5,4,5,1,1,11,2,,45,,5,1,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,13805,Adrian Mariappa,DC,7.31,4,,12,3,6,53.3,33,38,21,6,3,5,4,2,1,1,11,2,,56,,6,1,,,,1,1,,,,,,2,,1,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,317804,Richarlison,AML,6.32,4,,12,2,6,53.3,8,11,21,6,3,5,4,2,1,2,11,2,,31,,11,,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,116317,Abdoulaye Doucouré,DMC,7.23,4,,2,2,2,53.3,44,61,21,6,3,1,4,3,1,1,11,2,,71,,8,1,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,97635,André Carrillo,AMR,6.83,4,,1,1,2,53.3,18,23,21,6,3,5,4,1,1,2,11,2,,37,,7,,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,33590,Etienne Capoue,DMC,7.38,4,,5,12,4,53.3,51,64,21,6,3,5,4,4,1,15,11,2,,79,,4,2,,,,1,1,,,,,,2,,1,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,90000,Roberto Pereyra,AMC,6.61,4,,2,12,2,53.3,24,29,21,6,3,2,4,25,1,2,11,2,,45,,10,2,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,25832,Troy Deeney,FW,7.42,4,,12,1,9,53.3,15,27,21,6,3,5,4,3,1,1,11,2,,41,,9,2,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,78152,Marvin Zeegelaar,Sub,0,4,,12,12,38,53.3,290,412,21,6,3,5,4,25,1,15,11,2,,,,0,,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,299490,Dodi Lukebakio,Sub,0,4,,12,12,38,53.3,290,412,21,6,3,5,4,25,1,15,11,2,,,,0,,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,10133,Heurelho Gomes,Sub,0,4,,12,12,38,53.3,290,412,21,6,3,5,4,25,1,15,11,2,,,,0,,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,36096,Miguel Britos,Sub,6.03,4,,12,12,38,53.3,290,412,21,6,3,5,4,25,1,15,11,2,,,,0,,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,131487,Andre Gray,Sub,0,4,,12,12,38,53.3,290,412,21,6,3,5,4,25,1,15,11,2,,,,0,,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,108638,Will Hughes,Sub,7.33,4,,1,1,38,53.3,5,8,21,6,3,5,4,25,1,1,11,2,,15,,0,,,,,1,1,,,,,1,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,27,Watford,6.98857142857143,03/03/2018,14255,Stefano Okaka,Sub,6.37,4,,1,12,38,53.3,12,16,21,6,3,5,4,25,1,1,11,2,,21,,0,,,,,1,1,,,,,,2,,,,,1,,1,,1,,,,,,,,,,1,,,,,
1190369,175,West Bromwich Albion,6.69857142857143,03/03/2018,11530,Ben Foster,GK,6.28,6,1,7,17,25,46.7,15,30,27,5,1,2,2,1,1,9,12,2,,35,2,1,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
1190369,175,West Bromwich Albion,6.69857142857143,03/03/2018,27550,Kieran Gibbs,DL,7.2,6,1,7,17,25,46.7,20,31,27,5,1,2,2,2,1,9,12,2,,46,,3,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,
1190369,175,West Bromwich Albion,6.69857142857143,03/03/2018,73063,Craig Dawson,DR,7.92,6,1,1,3,3,46.7,26,38,27,5,1,2,2,10,1,9,12,2,,81,,2,1,,,,1,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,
1190369,175,West Bromwich Albion,6.69857142857143,03/03/2018,108724,Ahmed Hegazi,DC,6.78,6,1,7,2,3,46.7,15,30,27,5,1,2,2,4,1,9,12,2,,46,,5,2,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
1190369,175,West Bromwich Albion,6.69857142857143,03/03/2018,22079,Jonny Evans,DC,7.15,6,1,7,1,25,46.7,27,38,27,5,1,2,2,3,1,9,12,2,,57,,6,1,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
1190369,175,West Bromwich Albion,6.69857142857143,03/03/2018,8507,Chris Brunt,MC,7.11,6,1,2,2,25,46.7,24,36,27,5,1,2,2,1,1,1,12,2,,60,,8,2,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
