id,club_code,current_club,previous_club,first_name,middle_name,last_name,jersey_name,jersey_number,nationality,position,appearances,substitute_appearances,goals_scored,own_goals,assists_made
3222,SOU,Southampton,Bayern Munich,Pierre-Emile,,Højbjerg,Højbjerg,23,Denmark,Midfielder,2.0,0.0,1.0,0.0,0.0
3223,SOU,Southampton,Manchester City,Angus,,Gunn,Gunn,28,England,Goalkeeper,,,,,
3224,SOU,Southampton,,Alfie,,Jones,Jones,32,England,Defender,,,,,
3225,SOU,Southampton,,Matt,,Targett,Targett,33,England,Defender,1.0,1.0,0.0,0.0,1.0
3226,SOU,Southampton,Lech Poznań,Jan,,Bednarek,Bednarek,35,Poland,Defender,,,,,
3228,SOU,Southampton,Shrewsbury Town,Harry,,Lewis,Lewis,41,England,Goalkeeper,,,,,
3230,SOU,Southampton,Rennes,Yan,,Valery,Valery,43,France,Defender,,,,,
3231,SOU,Southampton,Celtic,Fraser,,Forster,Forster,44,England,Goalkeeper,,,,,
3301,BOU,Bournemouth,Southampton,Artur,,Boruc,Boruc,1,Poland,Goalkeeper,,,,,
3302,BOU,Bournemouth,Charlton Athletic,Simon,,Francis,Francis,2,England,Defender,3.0,2.0,0.0,0.0,1.0
3303,BOU,Bournemouth,Brighton and Hove Albion,Steve,,Cook,Cook,3,England,Defender,4.0,0.0,1.0,0.0,1.0
3304,BOU,Bournemouth,Newcastle United,Dan,,Gosling,Gosling,4,England,Midfielder,4.0,0.0,0.0,0.0,0.0
3305,BOU,Bournemouth,Chelsea,Nathan,,Aké,Aké,5,Netherlands,Defender,4.0,0.0,1.0,0.0,0.0
3306,BOU,Bournemouth,Norwich City,Andrew,,Surman,Surman,6,England,Midfielder,3.0,0.0,0.0,0.0,0.0
3307,BOU,Bournemouth,Hereford United,Marc,,Pugh,Pugh,7,England,Midfielder,,,,,
3308,BOU,Bournemouth,Levante,Jefferson,,Lerma,Lerma,8,Colombia,Midfielder,1.0,0.0,0.0,0.0,0.0
3309,BOU,Bournemouth,Le Havre,Lys,,Mousset,Mousset,9,France,Forward,3.0,3.0,0.0,0.0,0.0
